City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Pemangkat,1.1667,108.9667,79.99,82,100,7.18,ID,1661783911
Campoverde,-8.4753,-74.8058,71.29,56,92,4.12,PE,1661784041
Calvinia,-31.4707,19.776,59.49,38,0,16.71,ZA,1661784041
Mati,6.9551,126.2166,76.69,90,100,3.42,PH,1661784042
Road Town,18.4167,-64.6167,87.89,70,40,9.22,VG,1661784042
Kwekwe,-18.9281,29.8149,83.39,15,0,2.42,ZW,1661784042
Gouré,13.9835,10.2704,90.01,37,32,11.34,NE,1661784043
Markivka,49.5229,39.5705,85.89,34,0,9.78,UA,1661784043
Bathsheba,13.2167,-59.5167,88.41,70,20,18.41,BB,1661784044
Mayskiy,47.6931,40.1025,89.01,30,8,4.43,RU,1661784044
Evanston,42.0411,-87.6901,81.97,79,40,14.97,US,1661783463
Nizhnyaya Omka,55.4338,74.9426,65.48,61,77,5.66,RU,1661784045
Poltavka,54.3663,71.7632,68.41,54,28,7.49,RU,1661784045
Riyadh,24.6877,46.7219,104.14,8,1,9.04,SA,1661783826
North Bend,43.4065,-124.2243,55.85,100,75,0.0,US,1661783951
Buraidah,26.326,43.975,106.25,7,1,9.62,SA,1661783783
Surgut,61.25,73.4167,57.38,81,0,4.0,RU,1661784046
Sabha,27.0377,14.4283,98.76,14,0,18.68,LY,1661784047
Pekalongan,-6.8886,109.6753,73.0,74,16,5.1,ID,1661784047
Pembroke,45.8168,-77.1162,77.18,74,86,8.95,CA,1661784048
Mazamari,-11.3258,-74.5308,82.24,60,47,1.77,PE,1661784048
Cayenne,4.9333,-52.3333,87.84,58,20,6.91,GF,1661784049
San Cristobal,7.7669,-72.225,78.98,63,89,5.66,VE,1661784049
Ruteng,-8.6136,120.4721,62.11,94,58,1.88,ID,1661784050
Kununurra,-15.7667,128.7333,71.58,60,0,0.0,AU,1661783773
Laas,46.6166,10.7002,85.08,47,21,2.1,IT,1661784051
Kholodnyy,62.7167,147.95,49.77,76,100,6.4,RU,1661784051
Iqaluit,63.7506,-68.5145,40.73,93,75,4.61,CA,1661784052
Sweetwater,25.7634,-80.3731,82.99,85,75,9.22,US,1661784052
Eureka,40.8021,-124.1637,54.93,92,25,4.0,US,1661784053
Buala,-8.145,159.5921,79.27,83,27,8.19,SB,1661784053
Gerāsh,27.6652,54.1371,98.74,10,0,2.53,IR,1661784053
Aquin,18.2833,-73.4,85.55,62,99,6.64,HT,1661784054
La Paz,-16.5,-68.15,49.98,61,75,4.61,BO,1661783994
Shāmgarh,24.1833,75.6333,78.84,78,100,3.58,IN,1661784054
Mandan,46.8267,-100.8896,67.37,62,0,20.71,US,1661784055
Ngunguru,-35.6167,174.5,56.28,65,64,17.74,NZ,1661784055
Guerrero Negro,27.9769,-114.0611,70.81,78,97,11.12,MX,1661784056
Antofagasta,-23.65,-70.4,56.48,59,2,6.71,CL,1661783820
La Sarre,48.8002,-79.1996,61.97,98,100,7.34,CA,1661784040
Ostrovnoy,68.0531,39.5131,49.06,77,88,24.72,RU,1661784057
Santa Rosa,14.3122,121.1114,80.02,79,82,3.53,PH,1661784037
Rotterdam,51.9225,4.4792,74.89,58,75,5.75,NL,1661784058
Iquique,-20.2208,-70.1431,59.04,64,6,7.36,CL,1661784059
Marabu,4.4148,114.0089,80.74,89,40,5.75,MY,1661784059
Belmonte,-15.8631,-38.8828,78.69,59,39,4.85,BR,1661784060
Klaksvík,62.2266,-6.589,54.52,79,97,13.82,FO,1661784060
Spornoye,50.8448,37.2913,78.69,34,33,10.11,RU,1661784061
Vila Franca do Campo,37.7167,-25.4333,78.19,58,32,4.16,PT,1661784037
Mujiayingzi,42.1167,118.7833,60.6,65,45,4.5,CN,1661784061
Tazovsky,67.4667,78.7,40.55,71,12,8.19,RU,1661784062
Bata,1.8639,9.7658,78.58,77,96,8.3,GQ,1661784062
Mocuba,-16.8392,36.9856,83.61,30,0,7.99,MZ,1661784063
Thunder Bay,48.4001,-89.3168,69.78,83,40,8.05,CA,1661783887
San Juan,-31.5375,-68.5364,64.76,17,0,11.97,AR,1661783926
Mogadishu,2.0371,45.3438,80.47,74,20,19.57,SO,1661783867
Matonga,-2.3833,34.0833,78.22,46,78,6.38,TZ,1661784064
Davila,18.4726,120.5763,82.33,80,93,3.02,PH,1661784064
Hervey Bay,-25.2986,152.8535,65.25,74,100,8.81,AU,1661784065
Bowen,-20.0167,148.2333,70.57,87,95,19.86,AU,1661784065
Loandjili,-4.7561,11.8578,78.91,69,40,9.22,CG,1661784066
Bandar-e Anzali,37.4727,49.4622,86.11,58,0,7.31,IR,1661784066
Arkhangelsk,64.5401,40.5433,62.71,72,40,8.95,RU,1661784067
Tevaitoa,-16.7833,-151.5,78.44,71,91,11.9,PF,1661784067
Batesville,35.7698,-91.641,86.07,77,0,5.75,US,1661784068
Kiama,-34.6833,150.8667,61.0,87,55,11.99,AU,1661783848
Shelby,35.2001,-89.8668,87.06,80,0,4.61,US,1661784068
Östersund,63.1792,14.6357,55.62,66,100,6.91,SE,1661784069
Maxixe,-23.8597,35.3472,78.62,78,0,13.8,MZ,1661784070
Orange,33.7,-117.7675,71.19,84,100,1.99,US,1661783948
Budureasa,46.6667,22.5,79.93,52,94,5.97,RO,1661784070
Wajima,37.4,136.9,74.73,72,100,7.34,JP,1661784071
Skegness,53.1436,0.3363,67.01,71,78,16.2,GB,1661784071
Mubi,10.2676,13.2644,80.26,64,100,2.15,NG,1661784072
George,-33.963,22.4617,54.95,67,40,14.97,ZA,1661784073
Ranong,9.9658,98.6348,78.94,86,100,2.37,TH,1661784073
Comodoro Rivadavia,-45.8667,-67.5,60.66,23,0,4.61,AR,1661783808
Karasuk,53.7377,78.0403,64.63,39,87,6.06,RU,1661784074
Timrå,62.487,17.3257,64.08,45,75,11.5,SE,1661784074
Bhānpura,24.513,75.7469,81.12,72,100,3.85,IN,1661784075
Ust'-Shonosha,61.1531,41.343,70.3,66,100,2.33,RU,1661784075
Alyangula,-13.8483,136.4192,72.59,90,0,7.0,AU,1661784076
Sur,22.5667,59.5289,87.03,56,32,3.96,OM,1661784076
Bokhan,53.153,103.7714,49.78,66,100,5.7,RU,1661784077
Saint-Pierre,-21.3393,55.4781,74.88,81,100,6.91,RE,1661784077
Catuday,16.2923,119.8062,81.43,77,97,3.69,PH,1661784077
Bathurst,-33.4166,149.5806,48.88,97,87,6.44,AU,1661784078
Asmara,15.3333,38.9333,68.04,47,2,9.86,ER,1661784079
Fenoarivo Atsinanana,-17.3667,49.4167,70.93,89,62,4.88,MG,1661784079
Tsogni,-2.7942,10.0988,77.09,71,82,7.52,GA,1661784079
Alwar,27.5667,76.6,88.7,51,76,3.27,IN,1661784080
Tayoltita,24.0833,-105.9333,73.0,89,92,1.39,MX,1661784080
Plettenberg Bay,-34.0527,23.3716,54.88,63,100,11.32,ZA,1661784081
Kharovsk,59.9642,40.1912,72.77,52,100,5.26,RU,1661784081
Sitka,57.0531,-135.33,58.89,88,100,3.44,US,1661784016
Dano,11.15,-3.0667,81.48,72,83,7.87,BF,1661784082
Douentza,14.9951,-2.9517,87.3,51,76,6.4,ML,1661784082
Nome,64.5011,-165.4064,33.87,86,0,4.61,US,1661783990
Bereket,39.2446,55.5154,85.42,13,0,3.04,TM,1661784083
Codrington,-38.2667,141.9667,47.95,97,100,12.19,AU,1661784084
Lumphat,13.4878,106.9816,75.58,96,100,2.55,KH,1661784084
Moose Factory,51.2585,-80.6094,73.4,73,0,12.66,CA,1661784084
Dunedin,-45.8742,170.5036,42.8,89,1,3.62,NZ,1661784085
Xalapa,19.5333,-96.9167,69.53,78,99,2.06,MX,1661784086
San Ramon,37.7799,-121.978,61.02,89,75,4.61,US,1661784086
Olafsvik,64.8945,-23.7142,54.28,88,100,21.41,IS,1661784086
Heide,54.2,9.1,72.86,55,100,10.02,DE,1661784087
De-Kastri,51.4667,140.7833,54.25,86,2,3.69,RU,1661784087
Ugoofaaru,5.6667,73.0,80.82,81,95,19.73,MV,1661784088
Jadu,31.953,12.0261,98.06,17,0,20.4,LY,1661784088
Partizanskoye,55.5006,94.39,47.3,94,100,11.99,RU,1661784089
Brovst,57.0956,9.528,67.96,48,2,13.8,DK,1661784012
Kot Samaba,28.5522,70.4684,90.18,54,8,9.17,PK,1661784089
Mahon,39.8885,4.2658,84.76,61,0,9.22,ES,1661783907
Muaná,-1.5283,-49.2167,92.66,38,98,3.89,BR,1661784090
Mercedes,-34.6515,-59.4307,54.95,35,0,10.16,AR,1661784090
Villaviciosa,43.4813,-5.4357,78.42,81,45,2.08,ES,1661784091
Sisophon,13.5859,102.9737,80.49,83,100,3.91,KH,1661784091
Marawi,7.9986,124.2928,69.24,92,99,1.74,PH,1661784092
Puerto Madero,14.7208,-92.4215,80.71,73,84,4.83,MX,1661784092
Guangzhou,23.1167,113.25,87.75,66,32,6.69,CN,1661783906
Candeias,-20.7676,-45.2764,77.95,36,98,9.69,BR,1661784093
Berkåk,62.825,10.0118,54.88,56,22,6.22,NO,1661784093
Beyneu,45.3167,55.2,90.77,19,13,9.35,KZ,1661784093
Qui Nhon,13.7667,109.2333,80.49,81,90,1.48,VN,1661784094
Gobabis,-22.45,18.9667,83.28,9,2,7.07,NA,1661784094
Āsosa,10.0667,34.5333,66.34,94,86,2.35,ET,1661784095
Shintomi,32.0785,131.4723,76.75,88,83,5.19,JP,1661784095
Ginda,30.6945,78.4932,65.16,95,70,1.34,IN,1661784096
Nazas,25.2333,-104.1333,73.31,71,100,0.38,MX,1661784096
Alekseyevka,50.6309,38.6903,81.36,33,42,15.26,RU,1661784097
Haines Junction,60.7522,-137.5108,42.75,100,100,0.0,CA,1661784097
Mandalgovi,45.7625,106.2708,45.48,76,27,14.88,MN,1661784098
Natchitoches,31.7668,-93.1335,83.25,83,75,4.61,US,1661784098
São José da Coroa Grande,-8.8978,-35.1478,79.14,68,53,10.11,BR,1661784099
Panalingaan,8.7842,117.4231,79.14,87,26,3.96,PH,1661784099
Dergachi,51.2328,48.7659,89.8,16,99,8.12,RU,1661784100
Nhulunbuy,-12.2333,136.7667,77.61,83,75,9.22,AU,1661784100
Kirkwood,38.5834,-90.4068,83.75,86,75,11.5,US,1661783841
Puerto Colombia,10.9878,-74.9547,78.89,75,84,9.82,CO,1661784101
Magalia,39.8121,-121.5783,76.12,35,0,4.0,US,1661784102
Tadine,-21.55,167.8833,67.33,67,34,14.92,NC,1661784102
Portobelo,9.55,-79.65,81.1,79,97,2.66,PA,1661784103
Waingapu,-9.6567,120.2641,76.91,84,13,11.03,ID,1661784104
Oskarshamn,57.2645,16.4484,58.98,81,100,11.99,SE,1661783811
Muros,42.7762,-9.0603,77.68,73,90,6.11,ES,1661784104
Kostino,58.9097,53.2691,69.93,68,17,4.9,RU,1661784105
Mangan,27.5167,88.5333,76.71,93,97,1.41,IN,1661784105
Pagėgiai,55.1381,21.9089,69.58,79,70,8.1,LT,1661784106
Burnie,-41.0667,145.9167,54.95,81,100,7.96,AU,1661784106
Aksu,41.1231,80.2644,76.5,32,82,6.64,CN,1661784106
Rawson,-43.3002,-65.1023,60.26,26,100,19.86,AR,1661784107
Richards Bay,-28.783,32.0377,68.25,78,88,11.48,ZA,1661784107
Portland,45.5234,-122.6762,64.62,84,0,4.0,US,1661784070
Mnogovershinnyy,53.9353,139.9242,49.69,80,0,5.26,RU,1661784108
Peace River,56.2501,-117.286,56.66,88,75,8.05,CA,1661784109
Iwanai,42.9744,140.5089,63.25,77,100,4.32,JP,1661784109
Nador,35.174,-2.9287,86.07,78,75,6.91,MA,1661784110
Santa Marta,11.2408,-74.199,78.85,83,75,8.05,CO,1661784110
Thinadhoo,0.5333,72.9333,80.47,78,100,18.68,MV,1661784110
Batabanó,22.7164,-82.2881,77.61,70,99,10.11,CU,1661784111
Trairi,-3.2778,-39.2689,88.12,47,22,16.22,BR,1661783867
Safi,32.2994,-9.2372,75.34,71,7,22.37,MA,1661784111
Obo,5.3998,26.4869,76.28,91,30,2.82,CF,1661784112
Turan,16.0678,108.2208,84.18,79,20,4.61,VN,1661784112
São Miguel do Araguaia,-13.275,-50.1628,96.04,16,66,10.27,BR,1661783950
